economy,item,unit,item_code_new,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
13_PNG,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,,,,,,,,,,,,,,,,,,,,,,,,,180,190,200,220,240,,,,,,,,,,
14_PE,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,2391,3395,2855,2535,2425,1937,2432,2849,2800,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_RP,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,4939,4508,4795,5504,5512,3395,3910,3660,4700,4400,6360,6910,6730,7960,9600,10554,12429,14681,12888,12556,11959,8653,12614,10000,11000,15494,12033,13048,13369,14865,15900,16063,18907,20150,21305,24050,25606.6,,
16_RUS,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,,,,,,,,,,,,,64000,60000,50000,36500,27800,26700,26000,28400,32400,35300,37700,41000,43000,48500,54700,59939,53548,44266,50400,56200,61700,66400,68545,62100,56000,54700,55000
17_SIN,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,2152,2484,2971,3476,3417,2195,1989,1684,1759,1881,1850,2000,1900,1900,1900,3200,3300,3300,3300,3250,1150,600,200,150,150,,,,,,,,,,,,,,
18_CT,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,15501,15809,14806,16325,15690,15893,16321,17226,19049,19889,18500,19400,21600,24000,22700,22478,21537,21522,19652,18283,17572,18128,19363,18474,19050,19891,19294,18957,17330,15918,16301,16852,15806,16553,14592,13445,12130,,
19_THA,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,5883,6904,7285,8006,9083,8726,8723,10931,12683,16561,18100,18100,21800,26900,28000,34900,38600,37309,28800,34500,25499,27913,31679,32530,35626,37872,39408,35668,31651,33562,36496,36602,41047,42000,34980,35000,35144.5,,
20_USA,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,76709,72932,64341,71347,78699,78859,79916,79501,78252,78559,71400,66800,71400,75100,77900,78320,80818,84255,85522,87777,89510,90450,91266,94329,99015,100902.712,99712.374,96849.651,87610.421,64843,67202,68639,74934.141,77414.561,83188,84300,85000,86600,88500
21_VN,cement_production,thousand tonnes,13_4_nonmetallic_mineral_products,707,601,882,1023,1213,1430,1700,1667,1650,1760,2500,3000,5000,6500,7200,5828,6586,8019,9390,12300,13298,16073,21121,23282,25320,30808,32690,37102,40009,48810,55801,58271,55531,58000,60507,67400,77300,78800,80000
01_AUS,aluminium_production,thousand tonnes,13_3_nonferrous_metals,5938,6554,6332,5331,5512,6489,6534,6469,7055,7165,1230,1228,1236,1381,1317,1297,1372,1495,1627,1718,1769,1798,1835.982,1857.499,1894,1903,1932,1957,1974,1943,1928,1945,1864,1778,1704,1646,1630,1450,1600
