Economy,Year,GDP,Population,GDPpercap,lnGDPpercap
THA,2028,418.0764778381111,70396.854,0.005938851725364191,-5.126239476523051
USA,2028,2452.608098135601,345947.847,0.007089531325036981,-4.949136044284965
VN,2028,192.177631476828,103043.295,0.0018650183059152757,-6.284484410430361
AUS,2029,84.57614824237079,27923.172,0.0030288875577019255,-5.799559869546863
BD,2029,4.2418070496646605,468.352,0.00905687826605771,-4.704230780547745
CDA,2029,213.37437933926705,40539.186,0.005263410551441932,-5.246976068538712
CHL,2029,53.16367970843399,19393.834,0.0027412671320396985,-5.899335008533622
PRC,2029,9321.76208850986,1463891.336,0.00636779647455326,-5.0565017916051325
HKC,2029,4.81752150635242,7976.056,0.000603997954170886,-7.41193974716949
INA,2029,926.8075208195752,296896.014,0.003121657001496743,-5.769391327915931
JPN,2029,1138.34473017729,121440.546,0.009373679283171949,-4.669849593511342
KOR,2029,725.591985560594,51209.252,0.014169158056840861,-4.256687644346106
MAS,2029,273.997994956157,35767.395,0.007660552158080203,-4.871671214527225
MEX,2029,518.3230589860922,139813.7,0.0037072408425361187,-5.597467387262226
NZ,2029,25.8415804770596,5141.412,0.0050261641115435995,-5.29309818787818
PNG,2029,1.4354191534853,10530.056,0.00013631638364366722,-8.900532023670694
PE,2029,71.313357230725,35734.664,0.001995635308918114,-6.216792828749415
RP,2029,277.39820590544707,122361.316,0.0022670417005440434,-6.089279513032168
RUS,2029,558.4394852986429,143755.891,0.003884637223657449,-5.550725678246542
SIN,2029,131.71272044496808,6230.132,0.02114124073855387,-3.856529608750789
CT,2029,516.862868333734,24012.113999999903,0.021525088059041204,-3.8385361376643434
THA,2029,435.882454430521,70380.496,0.006193227942447593,-5.084298851236964
USA,2029,2488.9012317076504,347795.041,0.007156229785656001,-4.939772002943439
VN,2029,202.003350098647,103624.127,0.0019493853019253615,-6.240241185883699
AUS,2030,86.38823267089509,28177.48,0.0030658608459981198,-5.7874268857340185
BD,2030,4.24864348783988,470.987,0.00902072347610418,-4.708230740130283
CDA,2030,217.392982444059,40833.733,0.005323857665525192,-5.2355571133060455
CHL,2030,54.042456843382396,19458.098,0.0027773761260418356,-5.886248636529905
PRC,2030,9567.84062616385,1464340.15,0.006533892160345293,-5.030752470324934
HKC,2030,4.8930029267264095,8018.674,0.0006102010041468713,-7.401722140080189
INA,2030,960.2302142317293,299198.43,0.0032093424227918887,-5.741689215538202
JPN,2030,1151.71692431557,120758.056,0.009537392058676151,-4.6525352000056035
KOR,2030,742.741144708996,51152.05,0.014520261547855774,-4.232210256809992
MAS,2030,283.57665326215306,36095.052,0.007856385780027496,-4.846428602716674
MEX,2030,532.388949567546,140875.763,0.0037791380023797705,-5.578259337054576
NZ,2030,26.582629861915002,5172.960999999989,0.005138764792913586,-5.270942541057504
PNG,2030,1.54776765201811,10709.351,0.00014452487849339423,-8.842058895726797
PE,2030,73.6889508256751,36030.592,0.002045177354445775,-6.19227076735749
RP,2030,289.56586261112597,123697.926,0.0023409112179546645,-6.057215016030348
RUS,2030,567.27917789067,143347.514,0.003957370184254957,-5.532175569209543
SIN,2030,134.198596660469,6262.465,0.021429037393497448,-3.8430083891477334
CT,2030,526.250574068975,24011.257,0.02191682734764677,-3.820500565167684
THA,2030,449.35064581915793,70345.543,0.006387762844039144,-5.053371174547217
USA,2030,2525.8207377674303,349641.876,0.007224022381596621,-4.9303433646445916
VN,2030,212.156446360826,104163.523,0.002036763352952511,-6.196393322785434
AUS,2031,88.2500512601478,28429.245,0.003104199610652615,-5.774999371173196
BD,2031,4.23783450029231,473.462,0.008950738391449177,-4.716019248260566
CDA,2031,221.554053203324,41124.50700000001,0.005387397183954666,-5.223692907919125
CHL,2031,54.9208079629621,19532.745,0.002811730146631316,-5.873955274563499
PRC,2031,9806.947850313029,1464417.502,0.006696825076809979,-5.006121734029515
HKC,2031,4.95716414409794,8051.863,0.0006156543080896856,-7.392824940121865
INA,2031,994.31480677153,301439.289,0.003298557431150025,-5.714270048159904
JPN,2031,1165.36552586223,120062.518,0.00970632254990879,-4.634977796539251
KOR,2031,759.6757956750879,51084.91099999991,0.014870845046105478,-4.208352691200399
MAS,2031,294.761864102552,36411.999,0.008095184889534682,-4.816485852146142
MEX,2031,546.8105519476302,141911.813,0.0038531714900128166,-5.558858706149802
NZ,2031,27.343163399767896,5203.483,0.005254780961092387,-5.248616957521487
PNG,2031,1.6668148136113603,10888.951,0.00015307395667510677,-8.784589376399365
PE,2031,75.9079110296972,36316.896,0.0020901541538598783,-6.1705174578977
RP,2031,302.16264453013895,125015.254,0.002417006204140008,-6.025225610387789
RUS,2031,576.175814838421,142920.74300000002,0.004031435904572795,-5.513632662620476
SIN,2031,136.61761579573098,6292.363,0.02171165519149658,-3.829906057026387
CT,2031,535.410150863122,24004.597999999904,0.02230448311873934,-3.802967584006468
THA,2031,462.622444402512,70292.293,0.006581410630643561,-5.023506175064581
USA,2031,2563.3426873543394,351490.178,0.007292786108391169,-4.920869623753582
VN,2031,222.95034818874092,104660.42,0.002130226003189562,-6.1515272001056855
AUS,2032,90.1748759600687,28678.759,0.0031443088579972624,-5.762161171963659
BD,2032,4.24423500146664,475.784,0.008920508048750357,-4.719402377874226
CDA,2032,225.83698088145005,41411.4,0.005453497850385402,-5.2114980687671135
CHL,2032,55.794938898439405,19618.42,0.002844007769149575,-5.862541035276387
PRC,2032,10038.127538679499,1464130.42199999,0.006856033716564334,-4.982626179880149
HKC,2032,5.0294374862681686,8076.552,0.0006227208697805907,-7.3814121816633955
INA,2032,1029.13415769802,303618.026,0.003389568700041611,-5.687052592810204
JPN,2032,1179.2748825306699,119355.235,0.009880378372433097,-4.617204471150695
KOR,2032,776.407844174606,51007.254,0.015221518181994388,-4.185045182377721
MAS,2032,304.33085117521506,36717.906,0.008288349863285097,-4.792904381121757
MEX,2032,561.5574795976629,142920.645,0.003929155788498316,-5.53933068826333
NZ,2032,28.123894008117706,5232.992,0.005374343016025575,-5.226118942015691
PNG,2032,1.79281041144048,11068.738,0.0001619706249655995,-8.728095566546529
PE,2032,78.2653310472449,36596.066,0.002138626896323908,-6.14759129311746
RP,2032,317.42800871393,126311.55,0.0025130560800966342,-5.986255704674202
RUS,2032,587.4153570739691,142480.339,0.004122781860267535,-5.491227134668807
SIN,2032,138.97090901093702,6319.769,0.02198987162520292,-3.817173312304135
CT,2032,545.103603588211,23991.857000000004,0.022720358977973688,-3.7844938851671364
THA,2032,479.731208038666,70220.9,0.00683174394003304,-4.986175302701604
