Economy,Year,GDP,SteelProduction,Population,GDPpercap,PROpercap,lnGDPpercap,lnPROpercap
HKC,1992,8.47411507181957,0.15,5864.745,0.0014449247276428167,2.5576559594662682e-05,-6.539698050371222,-10.573834266767381
INA,1992,203.65311166719002,2.95,187739.786,0.0010847626707489164,1.5713238322323434e-05,-6.826394052553005,-11.061006995664311
JPN,1992,970.463001681801,98.13,125331.3,0.007743181485245912,0.0007829648300145295,-4.8609426312307775,-7.152422779949664
KOR,1992,149.91257318469195,28.06,43848.223,0.0034188973447040706,0.0006399347129757117,-5.678437193723355,-7.35414439778948
MAS,1992,57.2439536498313,1.56,19002.66,0.0030124179272707765,8.209377003009053e-05,-5.805012224595983,-9.407648427088047
MEX,1992,251.40357479003998,8.46,87075.136,0.0028872027807115915,9.715747099148948e-05,-5.847467141519093,-9.239177483486799
NZ,1992,16.2757277182711,0.76,3503.1940000000004,0.0046459681417218394,0.00021694487944430137,-5.371755501798662,-8.435867248467684
PNG,1992,1.2982666679393795,1.0,4836.215999999989,0.00026844679144591194,0.0002067732293181285,-8.222857833314965,-8.483887875749636
PE,1992,19.0212007029306,0.34,22966.822,0.0008282034276632004,1.480396373516545e-05,-7.096251748171199,-11.120615593107953
RP,1992,61.2927802508679,0.5,65020.124,0.000942673998143527,7.689926890942256e-06,-6.966790042266185,-11.77559928152153
RUS,1992,397.045321481443,67.03,148268.576,0.002677879104210477,0.0004520850055240296,-5.922730176791001,-7.701640330495459
SIN,1992,31.559760183215502,0.48,3199.6420000000007,0.0098635285395102,0.00015001678312761237,-4.618911310337971,-8.804763382609543
CT,1992,54.295805330880306,10.71,20868.148,0.0026018506927821435,0.0005132223520745588,-5.951532282251459,-7.574801371856058
THA,1992,129.67213146838094,0.93,57811.025,0.002243034636877325,1.6086896919748438e-05,-6.099925581353164,-11.037505473250627
USA,1992,1681.8603825094594,84.32,256990.608,0.006544442988007793,0.00032810537574198037,-5.029138988206339,-8.022175733669448
VN,1992,20.1605215156926,0.22,70883.488,0.0002844177407817827,3.1036847396674385e-06,-8.16506648229794,-12.68292052663025
AUS,1993,71.7447450237258,7.85,17603.211,0.004075662390442619,0.00044594136831058835,-5.502721995697229,-7.715323075773011
