Economy,Year,SteelProduction
CT,2018,23.24
THA,2018,6.4
USA,2018,86.61
VN,2018,15.47
AUS,2019,
BD,2019,
CDA,2019,
CHL,2019,
PRC,2019,
HKC,2019,
INA,2019,
JPN,2019,
KOR,2019,
MAS,2019,
MEX,2019,
NZ,2019,
PNG,2019,
PE,2019,
RP,2019,
RUS,2019,
SIN,2019,
CT,2019,
THA,2019,
USA,2019,
VN,2019,
AUS,2020,
BD,2020,
CDA,2020,
CHL,2020,
PRC,2020,
HKC,2020,
INA,2020,
JPN,2020,
KOR,2020,
MAS,2020,
MEX,2020,
NZ,2020,
PNG,2020,
PE,2020,
RP,2020,
RUS,2020,
SIN,2020,
CT,2020,
THA,2020,
USA,2020,
VN,2020,
AUS,2021,
BD,2021,
CDA,2021,
CHL,2021,
PRC,2021,
HKC,2021,
INA,2021,
JPN,2021,
KOR,2021,
MAS,2021,
MEX,2021,
NZ,2021,
PNG,2021,
PE,2021,
RP,2021,
RUS,2021,
SIN,2021,
CT,2021,
THA,2021,
USA,2021,
VN,2021,
AUS,2022,
BD,2022,
CDA,2022,
CHL,2022,
PRC,2022,
HKC,2022,
INA,2022,
JPN,2022,
KOR,2022,
MAS,2022,
MEX,2022,
NZ,2022,
PNG,2022,
PE,2022,
RP,2022,
RUS,2022,
SIN,2022,
CT,2022,
THA,2022,
USA,2022,
VN,2022,
AUS,2023,
BD,2023,
CDA,2023,
CHL,2023,
PRC,2023,
HKC,2023,
INA,2023,
JPN,2023,
KOR,2023,
MAS,2023,
MEX,2023,
NZ,2023,
PNG,2023,
PE,2023,
RP,2023,
RUS,2023,
SIN,2023,
CT,2023,
THA,2023,
USA,2023,
VN,2023,
AUS,2024,
BD,2024,
CDA,2024,
CHL,2024,
PRC,2024,
HKC,2024,
INA,2024,
JPN,2024,
KOR,2024,
MAS,2024,
MEX,2024,
NZ,2024,
PNG,2024,
PE,2024,
RP,2024,
RUS,2024,
SIN,2024,
CT,2024,
THA,2024,
USA,2024,
VN,2024,
AUS,2025,
BD,2025,
CDA,2025,
CHL,2025,
PRC,2025,
HKC,2025,
INA,2025,
JPN,2025,
KOR,2025,
MAS,2025,
MEX,2025,
NZ,2025,
PNG,2025,
PE,2025,
RP,2025,
RUS,2025,
SIN,2025,
CT,2025,
THA,2025,
USA,2025,
VN,2025,
AUS,2026,
BD,2026,
CDA,2026,
CHL,2026,
PRC,2026,
HKC,2026,
INA,2026,
JPN,2026,
KOR,2026,
MAS,2026,
MEX,2026,
NZ,2026,
PNG,2026,
PE,2026,
RP,2026,
RUS,2026,
SIN,2026,
CT,2026,
THA,2026,
USA,2026,
VN,2026,
AUS,2027,
BD,2027,
CDA,2027,
CHL,2027,
PRC,2027,
HKC,2027,
INA,2027,
JPN,2027,
KOR,2027,
MAS,2027,
MEX,2027,
NZ,2027,
PNG,2027,
PE,2027,
RP,2027,
RUS,2027,
SIN,2027,
CT,2027,
THA,2027,
USA,2027,
VN,2027,
AUS,2028,
BD,2028,
CDA,2028,
CHL,2028,
PRC,2028,
HKC,2028,
INA,2028,
JPN,2028,
KOR,2028,
MAS,2028,
MEX,2028,
NZ,2028,
PNG,2028,
PE,2028,
RP,2028,
RUS,2028,
SIN,2028,
CT,2028,
THA,2028,
USA,2028,
VN,2028,
AUS,2029,
BD,2029,
CDA,2029,
CHL,2029,
PRC,2029,
HKC,2029,
INA,2029,
JPN,2029,
KOR,2029,
MAS,2029,
MEX,2029,
NZ,2029,
PNG,2029,
PE,2029,
RP,2029,
RUS,2029,
SIN,2029,
CT,2029,
THA,2029,
USA,2029,
VN,2029,
AUS,2030,
BD,2030,
CDA,2030,
CHL,2030,
PRC,2030,
HKC,2030,
INA,2030,
JPN,2030,
KOR,2030,
MAS,2030,
MEX,2030,
NZ,2030,
PNG,2030,
PE,2030,
RP,2030,
RUS,2030,
SIN,2030,
CT,2030,
THA,2030,
USA,2030,
VN,2030,
AUS,2031,
BD,2031,
CDA,2031,
CHL,2031,
PRC,2031,
HKC,2031,
INA,2031,
JPN,2031,
KOR,2031,
MAS,2031,
MEX,2031,
NZ,2031,
PNG,2031,
PE,2031,
RP,2031,
RUS,2031,
SIN,2031,
CT,2031,
THA,2031,
USA,2031,
VN,2031,
AUS,2032,
BD,2032,
CDA,2032,
CHL,2032,
PRC,2032,
HKC,2032,
INA,2032,
JPN,2032,
KOR,2032,
MAS,2032,
MEX,2032,
NZ,2032,
PNG,2032,
PE,2032,
RP,2032,
RUS,2032,
SIN,2032,
CT,2032,
THA,2032,
USA,2032,
VN,2032,
AUS,2033,
BD,2033,
CDA,2033,
CHL,2033,
PRC,2033,
HKC,2033,
INA,2033,
JPN,2033,
KOR,2033,
MAS,2033,
MEX,2033,
NZ,2033,
PNG,2033,
PE,2033,
RP,2033,
RUS,2033,
SIN,2033,
CT,2033,
THA,2033,
USA,2033,
VN,2033,
AUS,2034,
BD,2034,
CDA,2034,
CHL,2034,
PRC,2034,
HKC,2034,
INA,2034,
JPN,2034,
KOR,2034,
MAS,2034,
MEX,2034,
NZ,2034,
PNG,2034,
PE,2034,
RP,2034,
RUS,2034,
SIN,2034,
CT,2034,
THA,2034,
USA,2034,
VN,2034,
AUS,2035,
BD,2035,
CDA,2035,
CHL,2035,
PRC,2035,
HKC,2035,
INA,2035,
JPN,2035,
KOR,2035,
MAS,2035,
MEX,2035,
NZ,2035,
PNG,2035,
PE,2035,
RP,2035,
RUS,2035,
SIN,2035,
CT,2035,
THA,2035,
USA,2035,
VN,2035,
AUS,2036,
BD,2036,
CDA,2036,
CHL,2036,
PRC,2036,
HKC,2036,
INA,2036,
JPN,2036,
KOR,2036,
MAS,2036,
MEX,2036,
NZ,2036,
PNG,2036,
PE,2036,
RP,2036,
RUS,2036,
SIN,2036,
CT,2036,
THA,2036,
USA,2036,
VN,2036,
AUS,2037,
BD,2037,
CDA,2037,
CHL,2037,
PRC,2037,
HKC,2037,
INA,2037,
JPN,2037,
KOR,2037,
MAS,2037,
MEX,2037,
NZ,2037,
PNG,2037,
PE,2037,
RP,2037,
