Economy,Year,GDP,SteelProduction,Population
BD,1995,2.7990903718010003,1.0,297.112
CDA,1995,157.23296210080798,14.42,29164.153
CHL,1995,35.828092211256305,1.01,14380.864
PRC,1995,913.6512643939067,95.36,1240920.539
HKC,1995,9.76934925665398,0.15,6084.234
INA,1995,279.98202143891103,4.13,196934.25699999998
JPN,1995,1001.0965550310699,101.64,126365.48599999999
KOR,1995,202.18060874128201,36.77,45292.5209999999
MAS,1995,77.07930071960422,2.45,20487.604
MEX,1995,260.35387104406396,12.15,91663.29
NZ,1995,18.835660713179898,0.84,3674.94
PNG,1995,1.36317069017475,1.0,5187.063
PE,1995,22.9317234069315,0.51,24299.167999999998
RP,1995,65.0309467851754,0.92,69784.087
RUS,1995,303.9090345903,51.59,148227.471
SIN,1995,41.268142802507796,0.52,3525.9640000000004
CT,1995,63.373432587742215,11.61,21356.025
THA,1995,157.64966616648903,2.13,59467.272000000004
USA,1995,1846.0418292040506,95.19,265163.74100000004
VN,1995,25.300228835089406,0.27,74910.462
AUS,1996,79.6588891613166,8.42,18189.273999999998
BD,1996,2.82577153053994,1.0,304.62
CDA,1996,159.77883492990705,14.74,29457.82
CHL,1996,33.3039235587485,1.18,14587.367
PRC,1996,1004.3619649375901,101.24,1251636.178
HKC,1996,10.1853808013455,0.1,6185.584
INA,1996,320.427453918957,4.11,199901.23100000003
JPN,1996,1030.80481815758,98.8,126644.099
KOR,1996,208.494772581082,38.9,45751.023
MAS,1996,89.4975302432003,3.22,21017.619
MEX,1996,293.232900117523,13.2,93147.045
NZ,1996,18.370200873742398,0.81,3717.3520000000003
PNG,1996,1.6368965332297298,1.0,5314.258000000001
PE,1996,23.5341181852949,0.58,24753.825
RP,1996,68.27927830392791,0.92,71401.743
RUS,1996,292.4970393098,49.25,148020.851999999
SIN,1996,42.839116612653505,0.53,3638.177
CT,1996,67.06057399606749,12.42,21488.994
THA,1996,163.14949753281,2.13,60130.19
USA,1996,1915.6837815649496,95.54,268335.00800000003
VN,1996,28.005366596345606,0.31,76068.739
AUS,1997,79.96087484346751,8.83,18387.205
BD,1997,3.2725765467921097,1.0,311.962
CDA,1997,166.61743311059402,15.55,29742.377999999997
CHL,1997,35.12443924807991,1.17,14786.226999999999
PRC,1997,1097.0723001626,108.91,1261996.017
HKC,1997,10.7048016831073,1.0,6299.91199999999
INA,1997,350.892670965075,3.82,202826.444
JPN,1997,1041.07876100996,104.55,126892.745
KOR,1997,220.301418590038,42.55,46196.056
MAS,1997,97.90525688281778,2.96,21562.79
MEX,1997,313.349549817531,14.25,94611.008
NZ,1997,18.364818755304302,0.76,3752.355
PNG,1997,1.61911852526725,1.0,5446.633000000001
PE,1997,25.134995586158894,0.61,25210.957000000002
RP,1997,70.10634014163672,0.98,73030.879
RUS,1997,296.591751591428,48.5,147730.02
SIN,1997,44.368808708424794,0.38,3752.131
CT,1997,71.49887791890289,16.06,21608.3089999999
THA,1997,163.462438372156,2.1,60846.587999999996
USA,1997,2000.87838377383,98.49,271713.63399999996
VN,1997,32.8949907865073,0.31,77133.212
AUS,1998,84.7008214309713,8.94,18587.027
BD,1998,2.96467485616606,1.0,319.135
CDA,1998,173.670405569286,15.93,30022.077999999998
CHL,1998,35.793709038094306,1.17,14977.736
PRC,1998,1183.05659145952,114.59,1271982.3490000002
HKC,1998,10.0750652416059,1.0,6416.996
INA,1998,284.383772177133,2.7,205724.59699999998
JPN,1998,1006.40771148464,93.55,127117.436
KOR,1998,216.01122291694801,39.9,46620.698
MAS,1998,91.98634984087309,1.9,22114.647
MEX,1998,328.0331423085629,14.22,96056.31300000001
NZ,1998,17.901694445355893,0.76,3783.9759999999997
PNG,1998,1.5683517633110098,1.0,5581.767
PE,1998,24.2358568633543,0.63,25658.07
RP,1998,73.43149862207841,0.88,74672.009
RUS,1998,280.872502573032,43.82,147360.613
SIN,1998,44.444691319163596,0.5,3860.7209999999895
CT,1998,71.52965792617239,16.97,21721.513
THA,1998,154.66472830790903,1.81,61585.102999999996
USA,1998,2049.8904326155803,98.66,275175.309
VN,1998,36.1902810461587,0.31,78115.712
AUS,1999,85.32063300180161,8.17,18788.186999999998
BD,1999,3.02891765598127,1.0,326.214
CDA,1999,190.166742248583,16.24,30302.511000000002
CHL,1999,35.99172124044561,1.29,15162.801000000001
PRC,1999,1273.7672920031998,123.95,1281514.8329999999
HKC,1999,10.327608912944,1.0,6522.46099999999
INA,1999,298.091856041902,2.89,208615.171
JPN,1999,985.0635162714732,94.19,127326.06300000001
KOR,1999,242.343631604648,41.04,47016.952000000005
MAS,1999,104.93690818218799,2.77,22661.292999999998
MEX,1999,323.203327934097,15.27,97484.823
NZ,1999,18.605148278322503,0.78,3818.1279999999997
PNG,1999,1.4222187872382197,1.0,5716.166
PE,1999,24.281429917624997,0.56,26078.295
RP,1999,75.73137069623952,0.53,76325.927
RUS,1999,298.848103124916,51.51,146915.915
SIN,1999,47.326785120247,0.59,3954.741
CT,1999,80.2192160229271,15.44,21838.635
THA,1999,167.80791729553798,1.53,62298.569
USA,1999,2103.6268835186293,97.43,278548.148
VN,1999,39.1266302371153,0.31,79035.871
AUS,2000,85.82863198178941,7.13,18991.433999999997
BD,2000,3.5329142255989896,1.0,333.166
CDA,2000,199.03206115470797,16.6,30588.379
CHL,2000,39.2415781158736,1.35,15342.35
PRC,2000,1381.9293497657097,128.5,1290550.767
HKC,2000,11.1190692173946,1.0,6606.328
INA,2000,272.631484712495,2.85,211513.822
JPN,2000,1016.3592659836901,106.44,127524.168
KOR,2000,272.40825285270404,43.11,47379.237
MAS,2000,113.96480863182602,3.65,23194.252
MEX,2000,333.94852198990003,15.63,98899.845
NZ,2000,19.081378703768802,0.7,3858.992
PNG,2000,1.20595262362183,1.0,5847.59
PE,2000,25.8553339820709,0.75,26459.944
RP,2000,82.4418153406258,0.43,77991.757
RUS,2000,328.733113114991,59.14,146404.89
SIN,2000,58.4041720529191,0.6,4028.8720000000003
CT,2000,90.3263552184029,16.9,21966.528
THA,2000,176.54821225888801,2.1,62952.639
USA,2000,2142.76626949387,101.82,281710.914
VN,2000,43.5593862584198,0.31,79910.411
AUS,2001,83.0299421339633,7.03,19194.676
BD,2001,3.71549547839494,1.0,340.037
CDA,2001,190.51645553806895,15.28,30880.072
CHL,2001,42.1031202098404,1.25,15516.112
PRC,2001,1497.1810213983701,151.63,1299129.747
HKC,2001,9.877396282406849,1.0,6664.775
INA,2001,383.5066022643009,2.78,214427.419
JPN,2001,961.4802041701648,102.87,127713.82400000001
KOR,2001,269.988981305354,43.85,47706.225999999995
MAS,2001,108.88654182193301,4.1,23709.115
MEX,2001,316.20352258499,13.3,100298.15199999999
NZ,2001,19.3430067619734,0.83,3907.941
PNG,2001,1.1819635363415,1.0,5974.6269999999995
PE,2001,26.642158741835605,0.69,26799.289
RP,2001,85.5192191067201,0.5,79672.869
RUS,2001,345.498670277874,58.97,145830.726
SIN,2001,52.268467796158,0.46,4077.15
CT,2001,86.4986344195179,17.26,22108.715
THA,2001,179.066302638663,2.13,63539.19
USA,2001,1993.1575955785102,90.1,284607.99199999997
VN,2001,49.2980765044689,0.32,80742.5
AUS,2002,82.87064999929468,7.53,19401.366
BD,2002,3.84919419958352,1.0,346.777
CDA,2002,193.073761237226,16.0,31178.26
CHL,2002,43.5381052159047,1.28,15684.413
PRC,2002,1633.8833196125,182.25,1307352.256
HKC,2002,8.73616446005431,1.0,6701.771
INA,2002,416.382373115756,2.46,217357.79
JPN,2002,945.8534304174159,107.75,127893.075
KOR,2002,284.87174038531094,45.39,47999.551
MAS,2002,114.404522516934,4.72,24208.391
MEX,2002,302.344732633065,14.01,101684.76400000001
NZ,2002,20.730898367783407,0.77,3963.202
PNG,2002,1.05000352664371,1.0,6098.621
PE,2002,27.94661047785049,0.61,27100.964
RP,2002,88.7291018112316,0.55,81365.26
RUS,2002,361.7370798261729,59.78,145215.707
SIN,2002,57.4324685746593,0.46,4104.407
CT,2002,98.7816193186238,18.23,22262.297000000002
THA,2002,194.698738261402,2.54,64069.093
USA,2002,1958.3947359451001,91.59,287279.312
VN,2002,54.5399482727147,0.41,81534.406
AUS,2003,87.85662461041849,7.54,19624.163
BD,2003,3.8679335440821,1.0,353.295
CDA,2003,187.34612224500202,15.93,31488.046000000002
CHL,2003,43.8984330991081,1.38,15849.649
PRC,2003,1797.8533634810397,222.34,1315303.522
