Economy,Year,GDP
CDA,2011,162.685384479901
CHL,2011,41.074286254700795
PRC,2011,4140.10282793263
HKC,2011,5.981330138908479
INA,2011,462.918251486268
JPN,2011,943.1178379141791
KOR,2011,476.629391556715
MAS,2011,142.27016064473798
MEX,2011,323.48392227034003
NZ,2011,17.8131442362672
PNG,2011,0.633133238060826
PE,2011,46.888358073799495
RP,2011,117.30542360441599
RUS,2011,418.659123151817
SIN,2011,82.65311557080499
CT,2011,292.35710520544797
THA,2011,284.230392135912
USA,2011,2043.7931071331004
VN,2011,63.52005926377729
AUS,2012,74.7980138239552
BD,2012,4.58269889669727
CDA,2012,166.867679736377
CHL,2012,42.449341818255796
PRC,2012,4390.82359627799
HKC,2012,5.780716970739291
INA,2012,483.84244134721797
JPN,2012,960.421476639141
KOR,2012,482.25822997492105
MAS,2012,148.88596574898597
MEX,2012,357.0062950518641
NZ,2012,17.6684385224691
PNG,2012,0.6513685154371689
PE,2012,50.007697890717296
RP,2012,121.962336322396
RUS,2012,442.488743289891
SIN,2012,84.27742282597349
CT,2012,312.228087826286
THA,2012,294.100962496703
USA,2012,2072.28412692732
VN,2012,66.5032167872712
AUS,2013,72.01441342815711
BD,2013,4.45130699635087
CDA,2013,163.687479387167
CHL,2013,45.4338127706668
PRC,2013,4603.223055561701
HKC,2013,5.59542658246476
INA,2013,500.677001948318
JPN,2013,964.9729959757469
KOR,2013,497.460410974385
MAS,2013,153.870546000801
MEX,2013,350.442977630742
NZ,2013,17.497499553544
PNG,2013,0.6692223504906529
PE,2013,51.7720380519097
RP,2013,129.674969024571
RUS,2013,432.201057958241
SIN,2013,81.5039392836348
CT,2013,323.69413689972805
THA,2013,297.93595847213396
USA,2013,2102.3719200771297
VN,2013,70.3754076172119
AUS,2014,71.155567254179
BD,2014,4.24932381452256
CDA,2014,165.508647324416
CHL,2014,47.0823910774651
PRC,2014,4912.4431942807805
HKC,2014,5.03065565308634
INA,2014,526.906483307156
JPN,2014,983.292028957974
KOR,2014,500.436976786794
MAS,2014,163.350126808187
MEX,2014,361.80328556096805
NZ,2014,19.6328501607025
PNG,2014,0.662628900240355
PE,2014,49.889966386696095
RP,2014,138.953554313214
RUS,2014,441.179871229112
SIN,2014,86.4179676477996
CT,2014,358.30601594862
THA,2014,300.74339014692197
USA,2014,2123.3228014290303
VN,2014,73.7117070059362
AUS,2015,71.93882949460222
BD,2015,3.8062771844596703
CDA,2015,176.15997457621498
CHL,2015,49.623703502254095
PRC,2015,5080.015545198769
HKC,2015,4.65032149772767
INA,2015,550.256333756139
JPN,2015,1049.8980996256998
KOR,2015,506.848466789317
MAS,2015,167.30954561602502
MEX,2015,402.89132889953197
NZ,2015,20.750575350080698
PNG,2015,0.605780163591363
PE,2015,50.879005269605905
RP,2015,143.293882007493
RUS,2015,468.625683491953
SIN,2015,89.360031609519
CT,2015,355.34056923914903
THA,2015,308.132958121022
USA,2015,2180.0423045342595
VN,2015,81.71357819899389
AUS,2016,71.4332897321476
BD,2016,2.92836450798068
CDA,2016,178.110240570995
CHL,2016,47.487130751672396
PRC,2016,5320.81039319777
HKC,2016,4.59729425403017
INA,2016,565.2051967884801
JPN,2016,1049.2863796024399
KOR,2016,515.845432147172
MAS,2016,170.863547646505
MEX,2016,410.599755423484
NZ,2016,19.0158288548207
PNG,2016,0.685222567345153
PE,2016,51.187274839292805
RP,2016,150.323256093993
RUS,2016,452.572500171795
SIN,2016,89.5910654504567
CT,2016,370.22696519463204
THA,2016,316.613714167368
USA,2016,2120.20924051831
VN,2016,90.40594710744502
AUS,2017,69.71573667241789
BD,2017,3.27733294785594
CDA,2017,183.41537155807302
CHL,2017,45.5538547863518
PRC,2017,5748.476430146559
HKC,2017,4.541180022718001
INA,2017,583.4563541262089
JPN,2017,1072.21021966882
KOR,2017,547.337847935992
MAS,2017,181.166524804306
MEX,2017,426.30523303747896
NZ,2017,19.6107316043342
PNG,2017,0.714583086584352
PE,2017,51.00902926061371
RP,2017,158.64699438076502
RUS,2017,467.875664318225
SIN,2017,99.5337489255656
CT,2017,402.329437380698
THA,2017,328.65919150709897
USA,2017,2173.31953535193
VN,2017,103.78091718156301
AUS,2018,71.5374280993966
BD,2018,3.6437576520279498
CDA,2018,186.894714855781
CHL,2018,47.9894963966351
PRC,2018,6149.26667688674
HKC,2018,4.45350980231569
INA,2018,604.5032408445389
JPN,2018,1080.6641241453399
KOR,2018,554.9295308677749
MAS,2018,187.218343305812
MEX,2018,437.01472993299205
NZ,2018,20.1546491719537
PNG,2018,0.7087179726978919
PE,2018,52.9122626587174
RP,2018,165.075930994092
RUS,2018,481.908940844501
SIN,2018,113.24947591411099
CT,2018,429.82483037002305
THA,2018,337.17433427188496
USA,2018,2236.93961206694
VN,2018,115.943738676738
