economy,item,unit,item_code_new,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
02_BD,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_cement_production_projection,thousand tonnes,14_4_nonmetallic_mineral_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_cement_production_projection_nz,thousand tonnes,14_4_nonmetallic_mineral_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_transport_production_projection,GVA millions USD,14_5_transportation_equipment,136.70528926,138.07234215260002,134.43275521345745,136.50144183191705,138.59805890722453,140.7229581798549,142.8764956320472,145.0590315374654,147.27093051142873,149.5125615617176,151.0076871773348,152.5177640491081,154.04294168959925,155.58337110649524,157.13920481756014,158.71059686573577,160.2977028343931,161.90067986273698,163.51968666136443,165.15488352797803,166.8064323632578,168.47449668689046,170.15924165375935,171.86083407029693,173.57944241099986,175.3152368351099,177.06838920346104,178.83907309549568,180.62746382645054,182.433738464715,184.25807584936229,186.10065660785588,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443,187.96166317393443
02_BD,8th_machinery_production_projection,GVA millions USD,14_6_machinery,176.7527333,178.520260633,173.8144665627141,176.48916932025296,179.19998468628634,181.94736744270833,184.73177785579014,187.55368174038935,190.41355052489496,193.3118613169167,195.24497993008586,197.1974297293867,199.1694040266806,201.16109806694743,203.17270904761685,205.20443613809303,207.25648049947395,209.32904530446862,211.4223357575134,213.5365591150885,215.6719247062394,217.82864395330188,220.00693039283487,222.20699969676318,224.42906969373078,226.67336039066817,228.94009399457488,231.22949493452063,233.54178988386573,235.87720778270432,238.23597986053156,240.61833965913684,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282,243.0245230557282
02_BD,8th_mining_production_projection,GVA millions USD,14_7_mining_and_quarrying,1038.730011,1068.4405046752872,1033.3806408893838,1065.3944584477063,1091.8675103208923,1113.572075049819,1130.5330569430903,1147.8942847799558,1160.5572597080954,1173.6098863185928,1176.0203998459538,1183.7146618131476,1186.8606113208975,1185.5150222648037,1189.3991872913398,1188.8568713249595,1188.7180599985181,1193.6906771851025,1189.4934699442647,1190.4423788328866,1191.7305935845022,1193.380766506634,1195.3353928872425,1197.6354697994575,1195.5387570819278,1198.48068615827,1201.7413110310902,1205.3637804118976,1204.649383477847,1208.9480373065492,1208.9406780871188,1213.9483269649518,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859,1219.362303202859
02_BD,8th_food_beverage_tobacco_production_projection,GVA millions USD,14_8_food_beverages_and_tobacco,129.8204237,131.11862793699999,127.66234090458067,129.62684260575608,131.61786810686453,133.63575143373458,135.68083064033132,137.75344785591668,139.85394933274972,141.98268549433382,143.40251234927715,144.83653747276992,146.28490284749765,147.74775187597265,149.22522939473234,150.71748168867967,152.22465650556646,153.74690307062207,155.28437210132836,156.8372158223416,158.40558798056503,159.98964386037073,161.58954029897444,163.20543570196415,164.83749005898378,166.48586495957366,168.15072360916943,169.8322308452611,171.53055315371364,173.24585868525074,174.9783172721034,176.7281004448244,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263,178.49538144927263
02_BD,8th_pulp_paper_production_projection,tonnes,14_9_pulp_paper_and_printing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_wood_production_projection,GVA millions USD,14_10_wood_and_wood_products,4.006217881,4.046280059810001,3.9396201174334085,4.000244028665519,4.06168645611053,4.123957707701574,4.187068215678826,4.251028538044854,4.315849360036636,4.381541495614449,4.425356910570594,4.4696104796763,4.514306584473064,4.559449650317795,4.605044146820972,4.651094588289182,4.697605534172073,4.744581589513793,4.792027405408932,4.8399476794630205,4.888347156257652,4.93723062782023,4.986602934098432,5.0364689634394155,5.086833653073809,5.137701989604548,5.1890790095005945,5.2409697995956,5.2933794975915545,5.346313292567468,5.3997764254931475,5.453774189748078,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558,5.508311931645558
02_BD,8th_construction_production_projection,GVA millions USD,14_11_construction,88.85779715,89.7463751215,87.38066067329726,88.72529727737476,90.08808854746654,91.46926311323239,92.86905236145881,94.28769046833843,95.72541443211954,97.18246410612942,98.1542887471907,99.13583163466261,100.12718995100926,101.12846185051936,102.13974646902453,103.16114393371478,104.19275537305192,105.2346829267824,106.28702975605027,107.34990005361075,108.42339905414687,109.50763304468839,110.60270937513525,111.70873646888658,112.82582383357544,113.95408207191123,115.09362289263035,116.24455912155666,117.40700471277218,118.58107475989986,119.76688550749897,120.96455436257394,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966,122.17419990619966
02_BD,8th_textiles_production_projection,GVA millions USD,14_12_textiles_and_leather,254.097127,256.63809827,249.8731179996028,253.71823130325996,257.6152595611904,261.56485656114904,265.5676839751507,269.6244114517764,273.7357167095371,277.9022856313078,280.68130848762087,283.4881215724971,286.32300278822214,289.18623281610434,292.0780951442653,294.998876095708,297.94886485666507,300.9283535052316,303.9376370402841,306.9770134106868,310.0467835447937,313.1472513802418,316.27872389404416,319.44151113298454,322.63592624431436,325.8622855067576,329.12090836182523,332.41211744544347,335.73623861989773,339.09360100609666,342.4845370161579,345.9093823863194,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256,349.36847621018256
