economy,item,unit,item_code_new,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
04_CHL,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,0.0,935.0,554.0,313.0,204.0,165.0,204.0,395.0,407.2254341150195,419.5267040759352
04_CHL,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,0.0,935.0,554.0,313.0,204.0,165.0,204.0,395.0,407.2254341150195,419.5267040759352
04_CHL,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_CHL,8th_cement_production_projection,thousand tonnes,14_4_nonmetallic_mineral_products,3876.0,3871.0,4406.0,4722.0,4800.0,5000.0,4800.0,5065.4,5226.579576396901,5316.538109007274
04_CHL,8th_cement_production_projection_nz,thousand tonnes,14_4_nonmetallic_mineral_products,3876.0,3871.0,4406.0,4722.0,4800.0,5000.0,4800.0,5065.4,5226.579576396901,5316.538109007274
04_CHL,8th_transport_production_projection,GVA millions USD,14_5_transportation_equipment,263.0,313.29999999999995,344.1,359.6,466.4,332.2,859.2,457.0909091,468.3366942,517.7014425
04_CHL,8th_machinery_production_projection,GVA millions USD,14_6_machinery,690.1,837.1,1024.5,1163.2,1185.0,925.6,1397.7,1225.029091,1221.365124,1309.541764
04_CHL,8th_mining_production_projection,GVA millions USD,14_7_mining_and_quarrying,20647.0,31520.0,34085.8,31346.5,28959.2,26971.9,20455.8,29060.92727,27458.27174,27285.14724
04_CHL,8th_food_beverage_tobacco_production_projection,GVA millions USD,14_8_food_beverages_and_tobacco,7174.0,8044.3,9458.9,10161.0,10769.0,10307.2,9362.3,11448.02545,11953.01653,12492.70842
04_CHL,8th_pulp_paper_production_projection,tonnes,14_9_pulp_paper_and_printing,6830000.0,5953000.0,6822000.0,6916000.0,6914000.0,6929100.0,6849800.0,6825100.0,6747200.0,6824230.0
04_CHL,8th_wood_production_projection,GVA millions USD,14_10_wood_and_wood_products,732.8,895.3,1027.1,1047.1,1177.5,1498.3,1349.8,1348.650909,1401.165785,1476.588748
04_CHL,8th_construction_production_projection,GVA millions USD,14_11_construction,11102.6,12828.3,15037.4,17174.2,18427.0,16722.4,16177.4,20147.79273,21170.88099,22141.86175
04_CHL,8th_textiles_production_projection,GVA millions USD,14_12_textiles_and_leather,503.6,689.7,725.0,750.8,772.1,642.8,716.4,735.96,717.7872727000001,729.8830082999999
04_CHL,8th_nonspecified_production,index,14_13_nonspecified_industry,206.0809663214537,215.87031115057377,226.78840193580038,236.5611541198513,243.73267935822764,245.42058326785647,248.13489662818924,248.9589115038529,248.57563454665956,255.00783089409634
05_PRC,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,577070.0,638743.0,701968.0,731040.0,822000.0,822306.0,803825.0,807609.0,870854.5,928264.4
05_PRC,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,577070.0,638743.0,701968.0,731040.0,822000.0,822306.0,803825.0,807609.0,870854.5,928264.4
05_PRC,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,78165.23,86692.76505,94315.98689,96795.19511,104277.05587,111270.28696,117780.0,121894.0,121444.38,123071.86951865703
05_PRC,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,78165.23,86692.76505,94315.98689,96795.19511,104277.05587,111270.28696,117780.0,121894.0,121444.38,123071.86951865703
