economy,item,unit,item_code_new,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
01_AUS,8th_construction_production_projection,GVA millions USD,13_11_construction,138752.8919,144045.5359,145485.991259,133184.25446281277,134979.23576330303,136796.79826435688,138637.21409185545,140500.75855607752,142387.71018817488,144298.3507770586,146232.96540670123,148191.8424938588,150175.2738262189,152183.554600977,154216.98346384751,156275.86254851532,158360.49751653016,160471.1975976504,162608.27563064155,164772.04810453253,166962.83520033833,169180.96083324988,171426.75269529966,173700.54229850695,176002.66501850888,178333.4601386812,180693.27089475488,183082.44451993625,185501.3322905318,187950.2895720872,190429.6758660447,192939.85485692418,195481.19446003455,198054.06686972146
01_AUS,8th_textiles_production_projection,GVA millions USD,13_12_textiles_and_leather,2481.470413,2267.991092,2290.6710029200003,2096.980658435807,2125.242565855449,2153.8600133576406,2182.8372855532903,2212.1787171915175,2241.8886937339535,2271.97165193552,2302.432080431745,2333.2745203326976,2364.503565823627,2396.1238647723444,2428.140119343452,2460.5570866195044,2493.3795792291444,2526.6124659823145,2560.260672512627,2594.3291819269443,2628.823035462298,2663.7473331501674,2699.1072344882477,2734.907959119773,2771.1547875204806,2807.853061693293,2845.008185870806,2882.6256272257006,2920.7109165891075,2959.2696491770575,2998.3074853251105,3037.8301512312055,3077.843439706889,3118.353210936964
02_BD,8th_steel_production_projection,thousand tonnes,13_1_iron_and_steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_chemicals_production_projection,thousand tonnes,13_2_chemical_incl__petrochemical,652.9224626950355,660.5322816075652,668.1421005200946,666.8194707145052,2841.8369532624015,2850.821508537061,2858.313074805434,2867.3125090192334,2876.319774253632,2883.8317011755644,2892.853845349102,2900.379085006053,2907.910589479485,2915.448358769396,2922.9923928757867,2929.034823853231,2935.081953443035,2942.6432157947447,2948.7005257113283,2953.251533886605,2960.829241381575,2965.388080577452,2971.463401841415,2976.029288955832,2980.5983084784875,2985.170460409384,2989.7457447485203,2994.324161495897,2998.905710651513,3003.490392215369,3006.5585917111384,3011.148754989414,3012.6996893150376,3017.2945512056745
02_BD,8th_aluminium_production_projection,thousand tonnes,13_3_nonferrous_metals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_cement_production_projection,thousand tonnes,13_4_nonmetallic_mineral_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_transport_production_projection,GVA millions USD,13_5_transportation_equipment,130.69454545,136.70528926,138.07234215260002,137.30046541026363,138.74594093654963,140.20659592682034,141.68258942280278,143.1740821291122,144.6812364306055,146.20421640991586,147.74318786516932,149.29831832788682,150.8697770810722,152.45773517748847,154.06236545812496,155.68384257085637,157.32234298929666,158.97804503184864,160.65112888095268,162.3417766025358,164.05017216566227,165.77650146239114,167.52095232783807,169.2837145604476,171.06497994247653,172.86494226069,174.6837973272736,176.52174300096272,178.37897920839293,180.2557079656715,182.15213340017488,184.06846177257196,186.00490149907677,187.96166317393443
02_BD,8th_machinery_production_projection,GVA millions USD,13_6_machinery,168.3816529,176.7527333,178.520260633,177.52226469065445,179.3911883553664,181.27973826690356,183.18812005783585,185.11654151076013,187.06521258073712,189.03434541796264,191.02415439067457,193.03485610829892,195.06666944483663,197.11981556249438,199.19451793556075,201.2910023745321,203.40949705048942,205.5502325197284,207.71344174864706,209.89936013889226,212.10822555276738,214.34027833890616,216.59576135821254,218.87492001007104,221.17800225883082,223.50525866056486,225.85694239010778,228.23330926837545,230.63461778996947,233.06112915106837,235.51310727761032,237.99081885376825,240.49453335072138,243.0245230557282
02_BD,8th_mining_production_projection,GVA millions USD,13_7_mining_and_quarrying,1012.532893,1038.730011,1079.2404814289985,1093.270607687575,1131.535078956641,1163.7114319127545,1190.5250593761812,1211.9759613469248,1233.4268633176644,1249.5150397957211,1265.603216273778,1276.3286672591478,1292.4168437372045,1303.1422947225744,1308.5050202152613,1319.2304712006312,1324.593196693318,1329.955922186005,1340.6813731713748,1340.6813731713748,1346.044098664062,1351.4068241567447,1356.7695496494316,1362.1322751421185,1367.4950006348013,1367.4950006348013,1372.8577261274884,1378.2204516201714,1383.583177112858,1383.583177112858,1388.9459026055451,1388.9459026055451,1394.3086280982282,1399.6713535909148
02_BD,8th_food_beverage_tobacco_production_projection,GVA millions USD,13_8_food_beverages_and_tobacco,124.1165289,129.8204237,131.11862793699999,130.38562509360818,131.7583023783439,133.14539464626498,134.54705292930663,135.9634298385445,137.39467958067422,138.8409579746627,140.30242246857287,141.77923215656375,143.27154779606758,144.77953182514588,146.30334838002614,147.8431633128214,149.39914420943464,150.97146040764883,152.5602830154063,154.16578492927832,155.78814085312607,157.42752731695793,159.08412269598116,160.75810722985312,162.44966304213284,164.15897415993524,165.8862265337895,167.63160805770488,169.3953085894451,171.1775199710143,172.978436049356,174.7982526972676,176.63716783453233,178.49538144927263
02_BD,8th_pulp_paper_production_projection,tonnes,13_9_pulp_paper_and_printing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_wood_production_projection,GVA millions USD,13_10_wood_and_wood_products,3.969917355,4.006217881,4.046280059810001,4.023659820141038,4.06602021403144,4.108825449817635,4.152080188298151,4.1957891390032955,4.239957060703713,4.2845887619242395,4.3296891014631065,4.375262988916558,4.421315385208931,4.4678513031282625,4.514875807867457,4.562394017571123,4.610411103888076,4.6589322925296095,4.707962863833585,4.75750815333439,4.807573552338825,4.8581645085080165,4.90928652644536,4.960945168290596,5.013146054320093,5.06589486355335,5.119197334365843,5.17305926510823,5.227486514732027,5.282485003421787,5.338060713233869,5.394219688741857,5.450968037688677,5.508311931645558
02_BD,8th_construction_production_projection,GVA millions USD,13_11_construction,89.35421488,88.85779715,89.7463751215,89.24465885750905,90.18421117326274,91.13363006944576,92.0930189224351,93.0624821894773,94.04212541996807,95.03205526684977,96.03237949812707,97.04320700850323,98.0646478311371,99.09681314952282,100.13981530949312,101.19376783134783,102.25878542210873,103.33498398790171,104.42248064646829,105.52139373980751,106.63184284694879,107.75394879685894,108.88783368148265,110.03362086891907,111.19143501673607,112.36140208542254,113.5436493519811,114.73830542366227,115.94550025184186,117.1653651460426,118.39803278810221,119.64363724648855,120.90231399076367,122.17419990619966
02_BD,8th_textiles_production_projection,GVA millions USD,13_12_textiles_and_leather,263.1899174,254.097127,256.63809827,255.20339399712608,257.8901311407016,260.605082687749,263.3485442526233,266.1208145405262,268.922195379762,271.7529917543285,274.6135118368483,277.50406702184307,280.4249719593541,283.37654458891313,286.35910617386736,289.3729813360617,292.4184980908826,295.4959878826664,298.6057856204766,301.74822971425505,304.9236621113467,308.13242833340894,311.3748775137014,314.65136243476616,317.96223956650084,321.3078691046268,324.68861500955865,328.10484504567876,331.55693082102016,335.0452478273637,338.57017548075214,342.1320971624259,345.7314002601847,349.36847621018256
03_CDA,8th_steel_production_projection,thousand tonnes,13_1_iron_and_steel,13208.0,13443.0,13505.04880290677,12531.041290914194,12581.988505773494,12641.770750552414,12711.196722196448,12782.863824970247,12855.807069101236,12929.304212741312,13003.517308306948,13079.489010429443,13156.78243869599,13234.447187801385,13290.668337634113,13346.287107238946,13401.580081825652,13457.281396817429,13511.694206940632,13584.806733504023,13658.364040555936,13731.543560994298,13804.387502154968,13876.920116370102,13942.802686609994,14008.988906409404,14075.032571768155,14142.851724357566,14210.803230307225,14278.964650576154,14347.613158849263,14417.2717243934,14487.670704346587,14558.945881057376
03_CDA,8th_chemicals_production_projection,thousand tonnes,13_2_chemical_incl__petrochemical,11721.8,11703.163824506035,11690.14592590119,10775.357668600105,10804.403304065167,10834.72524088958,10866.296751290929,10897.953762037567,10929.093114749572,10959.742864048043,10990.000850639486,11019.901804619827,11049.304514692567,11078.041970503373,11106.00817949714,11133.209148850992,11159.692175742966,11185.51645166413,11210.616282897498,11235.011219801489,11258.77817548465,11281.932809621288,11304.478160026167,11326.423028539493,11347.837669639011,11368.85963123428,11389.560460172816,11410.047724755084,11430.275051119223,11457.223333393167,11483.964155913944,11510.518265086122,11536.846815375977,11562.902650575132
