Economy,Predicted Steel Production per capita,Year,Population,Predicted Steel Production
INA,1.5525570268958013e-05,2011,245115.988,3.8055654957390694
INA,1.551544914173697e-05,2012,248451.71399999998,3.8548399327443783
INA,1.550342440719811e-05,2013,251805.31399999998,3.9038446509297837
INA,1.5494718040227196e-05,2014,255128.076,3.953137601765655
INA,1.548461529212592e-05,2015,258383.25699999998,4.000965332571502
INA,1.5471421257534547e-05,2016,261556.38600000003,4.0466490304043115
INA,1.545928144509911e-05,2017,264650.969,4.0913138144892
INA,1.544793443876078e-05,2018,267670.549,4.134957092139105
JPN,0.0008012554050241278,1990,124505.243,99.76049890759245
JPN,0.0008134021217886638,1991,124929.76400000001,101.61813511215703
JPN,0.0008160824371301176,1992,125331.3,102.2806727526859
JPN,0.0008136115440053174,1993,125707.40699999999,102.27699750217484
JPN,0.0008170229662607121,1994,126053.127,102.98829972797826
JPN,0.0008269570882455318,1995,126365.48599999999,104.4988343572915
JPN,0.0008382456669689733,1996,126644.099,106.15886723393969
JPN,0.0008420858447876021,1997,126892.745,106.85458437074277
JPN,0.0008287535067667855,1998,127117.436,105.34902085620243
JPN,0.0008204719738124776,1999,127326.06300000001,104.46746622738188
JPN,0.000832722250074123,2000,127524.168,106.19221211579048
JPN,0.0008113378065658631,2001,127713.82400000001,103.61905383229869
JPN,0.0008052327843014953,2002,127893.075,102.98369687512997
JPN,0.0008153136308232368,2003,128058.368,104.4077329713782
JPN,0.0008280377177291898,2004,128204.183,106.15789909465539
JPN,0.0008405420083771448,2005,128326.115,107.86349042933645
JPN,0.0008459686773399822,2006,128422.74,108.64161549817642
JPN,0.000861550938827861,2007,128494.05,110.70416941129412
JPN,0.000845723188682869,2008,128538.644,108.70811187265213
JPN,0.0007818803984254122,2009,128555.196,100.51478786813696
JPN,0.0008302054346225793,2010,128542.349,106.71655671895228
JPN,0.0008083200953809822,2011,128498.966,103.86829645347758
JPN,0.0008161681013776629,2012,128423.571,104.8152221152095
JPN,0.000818990188071538,2013,128314.189,105.08806178135687
JPN,0.0008273987784185067,2014,128168.63,106.04656789357357
JPN,0.0008546145669540701,2015,127985.13900000001,109.37796414304148
JPN,0.0008557833385523435,2016,127763.26699999999,109.33767517761446
JPN,0.0008660823540288251,2017,127502.728,110.427862811337
JPN,0.0008709754493267296,2018,127202.19,110.78998459059405
KOR,0.0006045991770964048,1990,42918.416,25.94843899588117
KOR,0.0006447468383770081,1991,43373.148,27.964700043458052
KOR,0.0006503027073793971,1992,43848.223,28.514618130675547
KOR,0.0006790567330793991,1993,44335.037000000004,30.106005386174285
KOR,0.0007309373106773969,1994,44820.07,32.760661430172675
KOR,0.0007835714720749198,1995,45292.5209999999,35.48992735395414
KOR,0.0007927703476724978,1996,45751.023,36.270054410082444
KOR,0.0008168819746001315,1997,46196.056,37.73672544401825
KOR,0.0007967552274442139,1998,46620.698,37.145284838598
KOR,0.0008589886523715944,1999,47016.952000000005,40.38702823709995
KOR,0.0009279392689443326,2000,47379.237,43.96505454492028
KOR,0.0009138350097733776,2001,47706.225999999995,43.59561950296096
KOR,0.0009431107373772449,2002,47999.551,45.26889193738668
KOR,0.0009457237166831826,2003,48260.901,45.64147866419912
KOR,0.0010281137148174144,2004,48493.434,49.85676457399311
KOR,0.001044443246412273,2005,48701.069,50.86550261010811
KOR,0.0010636797320236469,2006,48880.449,51.99314289351554
KOR,0.0011121253636578563,2007,49034.812999999995,54.53285923951997
KOR,0.0011397233211470662,2008,49182.458,56.0543943739361
KOR,0.001146967124191383,2009,49347.45,56.59990281267805
KOR,0.00125255666884835,2010,49545.638,62.05871928924622
KOR,0.0013002013743233895,2011,49786.153,64.73202455287453
KOR,0.0013014890481065876,2012,50060.639,65.15337339971752
KOR,0.0013213325122757042,2013,50345.72,66.52343668992917
KOR,0.001317298721186296,2014,50607.904,66.66572722111883
KOR,0.0013207953148506582,2015,50823.087,67.1268951958474
KOR,0.0013301507115939994,2016,50983.445999999996,67.81566697641424
KOR,0.0013824637713294183,2017,51096.407999999996,70.63893290506665
KOR,0.0013900510514176117,2018,51171.7,71.13127538782659
MAS,6.015818200364351e-05,1990,18029.824,1.0846414336856598
MAS,7.412375143488878e-05,1991,18519.941000000003,1.3727675032728057
MAS,8.315586565445236e-05,1992,19002.66,1.5801826420372358
MAS,9.389334120988487e-05,1993,19484.901,1.829502458033827
MAS,0.00010964010736578793,1994,19977.508,2.1903361220208875
MAS,0.00012027456907078655,1995,20487.604,2.4641377423929227
MAS,0.00015002522318014364,1996,21017.619,3.1531729811902274
MAS,0.0001663843089717419,1997,21562.79,3.587709913652787
MAS,0.00013682448922063944,1998,22114.647,3.0258252800697463
MAS,0.00016519881700552763,1999,22661.292999999998,3.7436187954156437
MAS,0.00018145336069464246,2000,23194.252,4.208674974198432
MAS,0.00015524177848257468,2001,23709.115,3.6806451788478887
MAS,0.000160511912607794,2002,24208.391,3.8857351405673066
MAS,0.0001763024135196347,2003,24698.821,4.354461753389438
MAS,0.0001942370498937877,2004,25190.647,4.892956958195794
MAS,0.00016686817850201962,2005,25690.615,4.286946129646663
MAS,0.0001748040145552046,2006,26201.953999999998,4.5802067483908
MAS,0.0001667492352621627,2007,26720.367000000002,4.455600763174329
MAS,0.0001525332550669107,2008,27236.002999999997,4.154396192602145
MAS,0.00013118858415126655,2009,27735.037999999997,3.638520366601575
