Economy,Predicted Steel Production per capita,Year,Population,Predicted Steel Production
HKC,0.03252244559988215,2047,8081.851,262.84155949385314
HKC,0.03954506612250675,2048,8068.58699999999,319.072806430198
HKC,0.04803487666430756,2049,8054.884,386.9153594853043
HKC,0.0582850645432591,2050,8041.04199999999,468.6726519650567
INA,1.5439232031326237e-05,2019,270625.567,4.178250922522224
INA,1.5421312085532886e-05,2020,273523.62100000004,4.218093122206017
INA,1.5417637392944863e-05,2021,276361.788,4.260845836649901
INA,1.540756058695403e-05,2022,279134.505,4.3007817976969225
INA,1.5397346076096947e-05,2023,281844.348,4.339654965747902
INA,1.5387048762693973e-05,2024,284495.157,4.377540853509278
INA,1.5376702396673678e-05,2025,287089.641,4.414491970824886
INA,1.5366310955314725e-05,2026,289628.16,4.450516367975646
INA,1.5355871153668067e-05,2027,292109.442,4.485594954121875
INA,1.534538861166149e-05,2028,294532.571,4.519716760786779
INA,1.5334866272423646e-05,2029,296896.01399999997,4.552860671505618
INA,1.5324299152493787e-05,2030,299198.43,4.585006247276471
INA,1.5313685378805525e-05,2031,301439.289,4.6161464325568335
INA,1.5303040532380928e-05,2032,303618.026,4.646278958239487
INA,1.529236626787275e-05,2033,305733.068,4.675382056056446
INA,1.528166510386882e-05,2034,307782.577,4.703430266519717
INA,1.527093958473972e-05,2035,309764.945,4.730401760565222
INA,1.526018744515652e-05,2036,311679.189,4.756282846894367
INA,1.5249403923673554e-05,2037,313524.572,4.781062838424871
INA,1.5238594769807693e-05,2038,315300.098,4.804730424302653
INA,1.5227756455968398e-05,2039,317004.821,4.827272209555856
INA,1.5216885267741904e-05,2040,318637.86,4.848675757578807
INA,1.5205980043768981e-05,2041,320198.985,4.868939375945083
INA,1.5195039529033119e-05,2042,321687.66,4.888056709702166
INA,1.5184063654488773e-05,2043,323102.54600000003,4.906009625391388
INA,1.5173048944226212e-05,2044,324442.07,4.922775407676067
INA,1.5161980365505422e-05,2045,325705.345,4.938338045830169
INA,1.5150844654303012e-05,2046,326892.322,4.952694789306399
INA,1.5139639425447317e-05,2047,328003.99600000004,4.9658622295458645
INA,1.5128366857089803e-05,2048,329041.87899999996,4.977866256858152
INA,1.5117029100686112e-05,2049,330008.087,4.988741854640755
INA,1.510562777419285e-05,2050,330904.672,4.998522803973375
JPN,0.0008756707906648507,2019,126860.299,111.08785832930937
JPN,0.0008554851075219239,2020,126476.45800000001,108.1987262711221
JPN,0.0008692014775093462,2021,126050.796,109.56353812442919
JPN,0.0008735260597929837,2022,125584.839,109.70162958140624
JPN,0.000878458420615961,2023,125081.31599999999,109.87873530192593
JPN,0.0008841166460070038,2024,124543.92300000001,110.11135548331454
JPN,0.0008904469309676542,2025,123975.981,110.39403179515422
JPN,0.0008973637814025321,2026,123379.10699999999,110.7159420035876
JPN,0.0009047448411371768,2027,122754.99900000001,111.06195206904931
JPN,0.000912506596558653,2028,122107.379,111.42378882598753
JPN,0.0009205711754325599,2029,121440.546,111.79466617639186
JPN,0.0009288730150464938,2030,120758.056,112.16889956787334
JPN,0.0009373569849223311,2031,120062.51800000001,112.54143987466311
JPN,0.0009460146316293153,2032,119355.235,112.91179867155536
JPN,0.0009548071562396235,2033,118636.758,113.2752255314684
JPN,0.0009637130007734949,2034,117906.95300000001,113.62846348768944
JPN,0.0009727256088893708,2035,117166.138,113.97050292726605
JPN,0.0009818476382004134,2036,116415.51,114.3022935433966
JPN,0.000991032488741757,2037,115657.089,114.61993275229688
JPN,0.0010002771045297069,2038,114892.92800000001,114.9247653507801
JPN,0.0010095787201907529,2039,114125.38900000001,115.21856416789184
JPN,0.0010189389765325352,2040,113356.481,115.50333673346978
JPN,0.0010283633343198897,2041,112587.239,115.78058849991032
JPN,0.0010378473415333393,2042,111818.498,116.05053088355102
JPN,0.001047372401518964,2043,111051.701,116.31248676913594
JPN,0.0010569158703166387,2044,110288.3,116.56545458024254
JPN,0.0010664664885914913,2045,109529.352,116.80938342514143
JPN,0.0010760364577650585,2046,108775.261,117.04614653890972
JPN,0.0010856039250952336,2047,108025.99,117.27343875629846
JPN,0.0010952135947608257,2048,107281.347,117.49598969865352
JPN,0.0011049291711185021,2049,106540.925,117.7201759504485
JPN,0.0011148245314524744,2050,105804.023,117.95292036676183
KOR,0.0014043683334917815,2019,51225.320999999996,71.93921868535155
KOR,0.0013882387394586737,2020,51269.183,71.17386598099606
KOR,0.001419443516360291,2021,51305.184,72.82481078447174
KOR,0.0014486471880538197,2022,51329.905,74.3589225413197
KOR,0.0014761521078318035,2023,51343.973,75.7915139684092
KOR,0.0015025830914833583,2024,51347.169,77.15338793493846
KOR,0.0015284863625616735,2025,51339.378,78.4715391353988
KOR,0.001554000491756975,2026,51321.217000000004,79.75319645556644
KOR,0.0015790598075033375,2027,51293.519,80.99553423830878
KOR,0.0016036795731032565,2028,51256.2709999999,82.19863479614466
KOR,0.001627858115620788,2029,51209.252,83.36139646307007
KOR,0.0016516016603883436,2030,51152.05,84.48281071226758
KOR,0.001674923306658074,2031,51084.910999999905,85.56330805245325
KOR,0.0016978831933507654,2032,51007.254,86.6043593055736
KOR,0.0017205993042157435,2033,50916.670999999995,87.60718869558191
KOR,0.0017432088512454294,2034,50810.026,88.5724870552104
KOR,0.0017658224970511463,2035,50685.005,89.50072209214983
KOR,0.0017885186710864698,2036,50540.727,90.39303388978406
KOR,0.0018111907535342264,2037,50377.613,91.24346685072564
KOR,0.0018338474326142279,2038,50196.3,92.05235588173358
KOR,0.0018564605983272498,2039,49998.017,92.81934855499601
KOR,0.0018790188524500364,2040,49783.740999999995,93.54458788448981
KOR,0.001901561180177156,2041,49553.535999999905,94.22908039811101
KOR,0.0019241395124386937,2042,49307.319,94.87416074031914
KOR,0.0019468136839510518,2043,49045.767,95.48297033547492
KOR,0.0019696730453068953,2044,48769.677,96.06031821522366
KOR,0.0019928346290528135,2045,48479.727999999996,96.61208076546129
KOR,0.002016418154991137,2046,48176.623,97.14421726336357
KOR,0.0020406896730802335,2047,47860.608,97.66864849294122
KOR,0.0020657659348738053,2048,47531.236,98.18840817124746
KOR,0.00209176442476813,2049,47187.764,98.70568601955426
KOR,0.0021187846997455136,2050,46829.924000000006,99.22252646144523
MAS,0.0001803424804419904,2019,31949.789,5.76190419785822
MAS,0.00016386551121953645,2020,32365.998,5.303670808400494
MAS,0.00018263480609898768,2021,32776.195,5.986074018487609
MAS,0.00018707132446861983,2022,33181.079,6.207228395827907
MAS,0.00019212854918068746,2023,33579.263999999996,6.451535274875287
MAS,0.0001967499841750783,2024,33969.292,6.683457663438614
MAS,0.00020198098605101735,2025,34349.933,6.93803333812638
MAS,0.00020729699782176121,2026,34720.334,7.197421001568823
MAS,0.00021269448816523226,2027,35080.109,7.461345828535557
MAS,0.00021816812883957378,2028,35429.092000000004,7.729498708125114
MAS,0.0002237098495148406,2029,35767.395,8.00151855298786
MAS,0.00022978189708289693,2030,36095.052,8.293989523865813
MAS,0.00023821447238496195,2031,36411.998999999996,8.673865130266762
MAS,0.00024388074285455706,2032,36717.906,8.954790191343799
MAS,0.00024915304382697303,2033,37012.453,9.22176532445278
MAS,0.00025405357952115715,2034,37295.26,9.474994302172233
MAS,0.00026297488601858594,2035,37566.151,9.878954277381988
MAS,0.0002714437427064714,2036,37825.115,10.267390783902693
MAS,0.0002751812231806162,2037,38072.539,10.476847851611712
MAS,0.0002828077471298326,2038,38309.224,10.834145333732115
MAS,0.000289989283782987,2039,38536.268,11.17510475698924
MAS,0.000296725380616664,2040,38754.576,11.499466314237432
MAS,0.0003070983052092758,2041,38964.532999999996,11.965942047570897
MAS,0.0003129106118800997,2042,39166.388999999996,12.255578747124005
MAS,0.0003182980994368757,2043,39360.772000000004,12.528458919968193
MAS,0.00032718374306014644,2044,39548.357,12.939579475138945
MAS,0.0003316722348058031,2045,39729.693999999996,13.177236397130704
MAS,0.00033956769292230215,2046,39905.065,13.550470857964507
MAS,0.00034695867583332243,2047,40074.627,13.904239518434311
MAS,0.0003538525497306245,2048,40238.61,14.238534746116205
MAS,0.0003602589329019444,2049,40397.165,14.553439555163777
MAS,0.00036257289994160444,2050,40550.371,14.702465607177938
MEX,0.0001812688255768958,2019,127575.52900000001,23.125466314181214
MEX,0.00017517403023170446,2020,128932.75300000001,22.585669971878886
MEX,0.00017929168962352605,2021,130262.22,23.35493351791147
MEX,0.00018314125201845258,2022,131562.775,24.09457133252197
MEX,0.00018721129884320572,2023,132833.768,24.867982237517058
MEX,0.00019143995838341447,2024,134074.37900000002,25.66719353604214
MEX,0.00019581983740540534,2025,135284.064,26.491303416022454
MEX,0.00020034549498292088,2026,136462.077,27.33956236296246
MEX,0.0002050205165944689,2027,137608.574,28.2125809293082
MEX,0.00020984334569134022,2028,138725.066,29.110531980691984
MEX,0.00021481263238846453,2029,139813.7,30.033748940971066
MEX,0.0002199281403247467,2030,140875.763,30.982544573419762
MEX,0.0002251908412963977,2031,141911.813,31.95724055936707
MEX,0.00023059666138793084,2032,142920.645,32.95702358040967
MEX,0.00023614953397043135,2033,143899.675,33.981841189746525
MEX,0.00024185431355355205,2034,144845.374,35.03147850017752
MEX,0.0002477151087062012,2035,145755.08800000002,36.10573746840193
MEX,0.00025373406063523114,2036,146627.857,37.204481558851995
MEX,0.0002599116723737677,2037,147464.087,38.32763746724078
MEX,0.00026624721467583684,2038,148264.124,39.47491005135289
MEX,0.0002727387006498017,2039,149028.87900000002,40.64594281775652
MEX,0.0002793835690770364,2040,149759.03,41.84021230291496
MEX,0.00028618001174241095,2041,150454.446,43.057055122977935
MEX,0.0002931255261027585,2042,151114.75400000002,44.295591768138934
MEX,0.0003002163523755961,2043,151740.131999999,45.55486893803116
MEX,0.00030744909073336765,2044,152330.831,46.8339754816083
MEX,0.0003148221413668437,2045,152887.033,48.1322231162833
MEX,0.0003223364360076379,2046,153408.99800000002,49.44930966682286
MEX,0.0003299951934999328,2047,153896.747,50.7851868052752
MEX,0.0003378040665711702,2048,154349.943,52.140038420428326
MEX,0.0003457702494672369,2049,154768.043,53.51418483766605
MEX,0.0003539013349719406,2050,155150.814,54.908080196583256
NZ,0.00015947569681516396,2019,4783.062,0.7627821453601318
NZ,0.00015673719512036626,2020,4822.233,0.7558232746368692
NZ,0.00015514040075157923,2021,4860.642,0.7540819477899575
NZ,0.00015332309853687443,2022,4898.201,0.7510073545764169
NZ,0.00015151276511686447,2023,4934.976,0.7477118595453633
NZ,0.0001497164107957748,2024,4971.0470000000005,0.744247314737104
NZ,0.00014793978849491572,2025,5006.4490000000005,0.7406530061705824
NZ,0.0001461836247311815,2026,5041.237,0.7369462977889473
NZ,0.00014444825103030864,2027,5075.413,0.7331345311064917
NZ,0.0001427338780298528,2028,5108.863,0.7292078283132278
NZ,0.00014104068692676245,2029,5141.412,0.7251482802534996
NZ,0.0001393686884755817,2030,5172.960999999989,0.7209487901053321
NZ,0.00013771776398421696,2031,5203.483,0.7166120436898853
NZ,0.00013608765213429615,2032,5232.992,0.7121455949175547
NZ,0.0001344781131368365,2033,5261.491,0.7075553819664471
NZ,0.0001328889923049096,2034,5288.96,0.7028445647409747
NZ,0.00013132016460615692,2035,5315.419,0.698021698030694
NZ,0.00012977162019725256,2036,5340.85,0.6930907577304964
NZ,0.0001282424897367014,2037,5365.265,0.6880549416971833
NZ,0.00012673264563166896,2038,5388.73,0.6829280094947434
NZ,0.00012524201432540479,2039,5411.29,0.6777208596989197
